cluster,Area (ha),Latitude_p,Longitude_p,Description
164,10.9,43.4,-8.3,Sample Data
165,2.3,53.4,-9.9,Sample Data
166,1.2,53.8,-10,Sample Data
167,17.3,53.5,-10.1,Sample Data
168,2.1,53.6,-10,Sample Data
169,1.3,54.6,-8.4,Sample Data
170,3.3,53.9,-9.6,Sample Data
171,0.3,53.9,-9.8,Sample Data
172,6.3,55.6,-5.5,Sample Data
173,1.1,55.7,-5.6,Sample Data
174,9.9,55.7,-5.7,Sample Data
175,2.3,55.5,-5.1,Sample Data
176,0.5,56.2,-5.5,Sample Data
177,11,56.8,-5.2,Sample Data
178,5.1,56.8,-5.7,Sample Data
179,3.9,56.5,-5.5,Sample Data
180,15.3,55.9,-5.1,Sample Data
181,19.2,55.9,-5.4,Sample Data
182,32.6,55.2,-7.7,Sample Data
183,0.2,53.3,-9.7,Sample Data
184,2,43.9,15.5,Sample Data
185,1.7,44,8.2,Sample Data
186,2.4,44.1,9.8,Sample Data
187,1.6,57.1,-5.6,Sample Data
188,1.2,57,-5.7,Sample Data
189,8.3,57.3,-6.4,Sample Data
190,3.7,57.4,-6.2,Sample Data
191,0.2,57.4,-5.6,Sample Data
192,1.1,57.3,-6.1,Sample Data
193,0.8,57.9,-4.3,Sample Data
194,1,57.9,-5.1,Sample Data
195,3.2,57.9,-5.3,Sample Data
196,0.7,57.9,-5.2,Sample Data
197,1,58,-5.4,Sample Data
198,6.2,58.1,-5.3,Sample Data
199,0.8,57.5,-6.7,Sample Data
200,2.2,57.5,-5.6,Sample Data
201,2.2,57.5,-6.4,Sample Data
202,1.6,58.5,-4.7,Sample Data
203,6.5,59.2,-2.8,Sample Data
204,6.6,59.2,-3,Sample Data
205,0.8,59,-3,Sample Data
206,5.4,58.9,-3.2,Sample Data
207,0.7,59.3,-2.9,Sample Data
208,1.5,58.3,-5.1,Sample Data
209,0.9,56.9,-5.7,Sample Data
210,1.5,40.1,0.2,Sample Data
211,13.5,40.6,8.3,Sample Data
212,4.4,39.3,26.1,Sample Data
213,11,39,20.8,Sample Data
214,17.6,38.9,21,Sample Data
215,2,38.7,23.1,Sample Data
216,13.9,38.2,26.6,Sample Data
217,0.6,38.7,23.4,Sample Data
218,2,38.2,26.4,Sample Data
219,1.7,38.2,26.8,Sample Data
